prNumber,headRef,headSha,reason
107,chore/convert-find-cjs-20260206,3e9803c58de8143dbe5ae64250f0c350e5ce118e,missing-or-failing-tier1
106,chore/docs/announce-test-policy-impl-start-20260206,5dc6d4ac34774c219b26df603fc61bdc212e662b,missing-or-failing-tier1
105,fix/restore-today-from-stash,44a5213d3356bdbf8bfed35c00f023096273a56a,missing-or-failing-tier1
98,feat/tests/tier1-gate-impl,39110a26040622291cae7c13102382e3ee83d200,missing-or-failing-tier1
97,fix/merge-conflict-packagejson-2026-02-05,45d6a709e1951c7b66c0be42f2cc97a5d9a9394b,missing-or-failing-tier1
96,chore/esmmigrate/codemod-preview-2026-02-05,35e83770d5378f6ead6c5b411086240191108715,missing-or-failing-tier1
95,chore/reorg-pages-structure,bb01ff56a399c867b9e7ea1af85fc6b8c5f8236d,missing-or-failing-tier1
94,fix/home-image-grid-demo-and-tests,e33afc422550e35e725fb5af817e65e9d0d1d68d,missing-or-failing-tier1
93,chore/speedup-test-default,df7f37bb160b2e25dafd652e71312bbf8f1eb982,missing-or-failing-tier1
92,fix/playwright-skip-if-no-tests,6b7731e192f7643e48d4df576ae8324ce05a4135,missing-or-failing-tier1
91,chore/protect-critical-scripts,f31c0c3522bc627d8ed7d119ffe6656d5ea664ec,missing-or-failing-tier1
90,fix/restore-mcp-scripts,d96bfa59cc7fdcbfd5c83fc04b162df9d9588101,missing-or-failing-tier1
89,ci/docs-powershell-lint,94887708468f3b0b423238acd9e50962732af7b0,missing-or-failing-tier1
88,docs/add-npxcommands,d58052fc7e40f74acdeab391e3473a02aa374f06,missing-or-failing-tier1
87,fix/docs-base-href,37bb1f92ae408c43c68b3d534459fa15008b8419,missing-or-failing-tier1
85,ci/safe-test-runner,1b74ed0d11fba7ac86dddd23bc93df4ab323913d,missing-or-failing-tier1
83,chore/lock-policy,e3d5b704ce72435e1571d6bfc4cae64308ddc52f,missing-or-failing-tier1
80,chore/lock-restore-2026-02-01,8f6245765bc3bad42b0bfc5f08f0b63d6df093b5,missing-or-failing-tier1
79,chore/lock-cleanup-2026-02-01,2e8e5616b364e07f1083123a8ad7d82f7fef0924,missing-or-failing-tier1
78,chore/lock-prune,f5d430fd0e55e147f672fc4f5d851aa441082401,missing-or-failing-tier1
77,test/fix/inspect-wait,5b043228b417816796552607e99fd5bf810c8860,missing-or-failing-tier1
76,builder/remove-initMenu-shim,fd08e4d1ff8fbbf4df136204f645d304c7c037b5,missing-or-failing-tier1
75,builder/mvvm-minimal-binder-menu-tests,4297986f88673a271056711946b1d4700a779996,missing-or-failing-tier1
35,fix/tests/alerts-assertion,b576dd10324ac47aa7e90b002a6e25fede96e21d,missing-or-failing-tier1
34,fix/tests/stats-card-assertion,017eaf813d733f81eb98c0829d71bbe939f5c17e,missing-or-failing-tier1
33,fix/tests/media-mdhtml-assertions,e20a3421686dccc859b74d89cdd5fcbab2fb0448,missing-or-failing-tier1
32,fix/tests/safe-scroll-components-page,a8067395864d01150726b2d93b6c9abc4f482060,missing-or-failing-tier1
30,fix/flaky-input-tabs-issues,1b93df1eeb78af20f5a2527908da1ea5b79d8296,missing-or-failing-tier1
29,feat/ts-wb-form-typings,627884425dcbd0379354f88b288b4c94cfcc9c3c,missing-or-failing-tier1
28,feat/ts-wb-input-typings,c5590c4fb990d1099ba7e253d22aa2e63082ceab,missing-or-failing-tier1
27,feat/ts-wb-card-typings,fdd9a1ea1c584270052115700e15e504ef6fbc62,missing-or-failing-tier1
26,wip/ts-migration-fixes,147e15a21a7c6795bb7c40b105399e9b8a0c60ea,missing-or-failing-tier1
25,ts/migrate/semantics-input,1c6a02b7fb14c65ffc0aae036980cc446e7f1887,missing-or-failing-tier1
24,chore/add-theme-readiness-smoke-and-trace-check,7ea8c51333ce303c598b73bf626bc816b1028df5,missing-or-failing-tier1
20,chore/triage/issue-validation-failures-2026-01-29,9bb08cd34c45ad24ee57b7108634f002ee4e0f39,missing-or-failing-tier1
17,chore/enhancements/add-fixed-column,85f57cb512d3ad89b10feef711a4c255db8592ee,missing-or-failing-tier1
16,fix/tests-overwrite-detection,def1d2ef61bed9dc4d0315afa5aca6a306ef0d9b,missing-or-failing-tier1
15,chore/builder-overwrite-detection-audit,455f45689b895a48a317160d998c103c60613754,missing-or-failing-tier1
13,fix/builder-theme-persistence-and-panel-order,ac070ef8f372cb4c2b0ff1e67e9f6baffe4731bc,missing-or-failing-tier1
12,refactor/templates-visuals,f276c36b21f61892594ea71ffcaedb4a0be51959,missing-or-failing-tier1
7,fix/carddraggable-header,4918b55f319639527602c925ed8c5741d2c117d5,missing-or-failing-tier1
6,fix/migrate-data-attributes,e9e3c148bb7dd23a4dacb105ac0e09a6ed5f52b0,missing-or-failing-tier1
5,batch/001-quick-wins,ffda862a32dfb808cbc835a78730cbfbb6d8777a,missing-or-failing-tier1
2,feat/common-header,23380d6b4b4001a02da0a5bd3ca160f626f1f244,missing-or-failing-tier1
1,cleanup/remove-legacy-issues,220f660c8963908b713d73399516fa2aa76c4ec2,missing-or-failing-tier1
